Model,Accuracy,Precision,Recall,F1 Score
MobileNet_v2,93.54838709677419,93.6547523613595,93.54838709677419,93.51866152585036
Resnet50v2,91.29032258064517,91.71089562082335,91.29032258064517,91.26287555999428
EfficientNet,94.51612903225806,94.70374312798988,94.51612903225806,94.44508381536515
OwnCnn_model,60.64516129032258,62.245073265537975,60.64516129032258,60.604284097818415
non_cnn_model,17.258064516129032,2.97840790842872,17.258064516129032,5.080090517815148
